"gene_id","biotype","source"
"ATlnc_146","lnc_exonic_antisense","DevSeq"
"ATlnc_1460","lnc_exonic_antisense","DevSeq"
"ATlnc_1461","lnc_exonic_antisense","DevSeq"
"ATlnc_1462","lnc_exonic_antisense","DevSeq"
"ATlnc_1463","lnc_exonic_antisense","DevSeq"
"ATlnc_1464","lnc_exonic_antisense","DevSeq"
"ATlnc_1465","lnc_exonic_antisense","DevSeq"
"ATlnc_1472","lnc_exonic_antisense","DevSeq"
"ATlnc_1473","lnc_exonic_antisense","DevSeq"
"ATlnc_1474","lnc_exonic_antisense","DevSeq"
"ATlnc_1476","lnc_exonic_antisense","DevSeq"
"ATlnc_1479","lnc_exonic_antisense","DevSeq"
"ATlnc_1481","lnc_exonic_antisense","DevSeq"
"ATlnc_1487","lnc_exonic_antisense","DevSeq"
"ATlnc_1489","lnc_exonic_antisense","DevSeq"
"ATlnc_149","lnc_exonic_antisense","DevSeq"
"ATlnc_1496","lnc_exonic_antisense","DevSeq"
"ATlnc_1499","lnc_exonic_antisense","DevSeq"
"ATlnc_1505","lnc_exonic_antisense","DevSeq"
"ATlnc_1508","lnc_exonic_antisense","DevSeq"
"ATlnc_151","lnc_exonic_antisense","DevSeq"
"ATlnc_1510","lnc_exonic_antisense","DevSeq"
"ATlnc_1511","lnc_exonic_antisense","DevSeq"
"ATlnc_1512","lnc_exonic_antisense","DevSeq"
"ATlnc_1514","lnc_exonic_antisense","DevSeq"
"ATlnc_1518","lnc_exonic_antisense","DevSeq"
"ATlnc_1519","lnc_exonic_antisense","DevSeq"
"ATlnc_152","lnc_exonic_antisense","DevSeq"
"ATlnc_1534","lnc_exonic_antisense","DevSeq"
"ATlnc_1535","lnc_exonic_antisense","DevSeq"
"ATlnc_1537","lnc_exonic_antisense","DevSeq"
"ATlnc_1538","lnc_exonic_antisense","DevSeq"
"ATlnc_1539","lnc_exonic_antisense","DevSeq"
"ATlnc_154","lnc_exonic_antisense","DevSeq"
"ATlnc_1542","lnc_exonic_antisense","DevSeq"
"ATlnc_1543","lnc_exonic_antisense","DevSeq"
"ATlnc_1545","lnc_exonic_antisense","DevSeq"
"ATlnc_1546","lnc_exonic_antisense","DevSeq"
"ATlnc_1550","lnc_exonic_antisense","DevSeq"
"ATlnc_1552","lnc_exonic_antisense","DevSeq"
"ATlnc_1553","lnc_exonic_antisense","DevSeq"
"ATlnc_1556","lnc_exonic_antisense","DevSeq"
"ATlnc_156","lnc_exonic_antisense","DevSeq"
"ATlnc_1560","lnc_exonic_antisense","DevSeq"
"ATlnc_1562","lnc_exonic_antisense","DevSeq"
"ATlnc_1563","lnc_exonic_antisense","DevSeq"
"ATlnc_1565","lnc_exonic_antisense","DevSeq"
"ATlnc_1566","lnc_exonic_antisense","DevSeq"
"ATlnc_1567","lnc_exonic_antisense","DevSeq"
